,Unnamed: 0,molecule_chembl_id,class,canonical_smiles1,MW,LogP,NumHDonors,NumHAcceptors,pIC50
101,101,CHEMBL3642569,intermediate,CSc1ccc(CN(Cc2ccccc2)c2ccc3nc[nH]c3c2)cc1,359.49800000000005,5.4916000000000045,1.0,3.0,5.5003129173815966
102,102,CHEMBL3642570,active,CSc1ccc(CN(Cc2ccc(C)cc2)c2ccc3nc[nH]c3c2)cc1,373.52500000000003,5.800020000000005,1.0,3.0,5.51427857351842
103,103,CHEMBL3642571,intermediate,COc1ccc(CN(Cc2ccc(SC)cc2)c2ccc3nc[nH]c3c2)cc1,389.5240000000001,5.500200000000005,1.0,4.0,5.576754126063192
104,104,CHEMBL3642572,active,COc1cccc(CN(Cc2ccc(SC)cc2)c2ccc3nc[nH]c3c2)c1,389.52400000000006,5.500200000000005,1.0,4.0,5.430626090384954
105,105,CHEMBL3642573,intermediate,COc1cc(CN(Cc2ccc(SC)cc2)c2ccc3nc[nH]c3c2)cc(OC)c1,419.5500000000002,5.508800000000005,1.0,5.0,5.3851027839668655
106,106,CHEMBL3642574,active,COc1cc(F)c(CN(Cc2ccc(SC)cc2)c2ccc3nc[nH]c3c2)cc1OC,437.5400000000002,5.647900000000005,1.0,5.0,5.467245621007502
107,107,CHEMBL3642575,active,CSc1ccc(CN(Cc2ccc(N(C)C)cc2)c2ccc3nc[nH]c3c2)cc1,402.56700000000006,5.557600000000004,1.0,4.0,5.38933983691012
108,108,CHEMBL3642576,active,COc1ccc(CN(Cc2ccc3ccccc3c2)c2ccc3nc[nH]c3c2)cc1,393.4900000000001,5.931500000000005,1.0,3.0,5.503070351926785
109,109,CHEMBL3677280,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2nsnc2c1,350.36300000000006,2.365100000000001,2.0,6.0,7.15676722190199
110,110,CHEMBL3677281,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccccc1,292.298,2.3604000000000003,2.0,3.0,6.130181792020672
111,111,CHEMBL3677282,intermediate,Cc1ccc(O)c(C2C(=O)NC(=O)N2c2ccc3[nH]cnc3c2)c1,322.324,2.3744199999999998,3.0,4.0,7.45717457304082
112,112,CHEMBL3677283,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1cc(C(F)(F)F)ccc1F,378.285,3.5183000000000018,2.0,3.0,6.251811972993799
113,113,CHEMBL3677284,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1cc(F)ccc1Br,389.184,3.2620000000000013,2.0,3.0,6.739928612014925
114,114,CHEMBL3677285,intermediate,CCCOc1ccc(C2C(=O)NC(=O)N2c2ccc3[nH]cnc3c2)cc1,350.37800000000004,3.1492000000000013,2.0,4.0,6.6307841425898575
115,115,CHEMBL3677286,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc(Cl)c(C(F)(F)F)c1,394.74000000000007,4.032600000000001,2.0,3.0,6.366531544420414
116,116,CHEMBL3677287,intermediate,COc1ccc(C2C(=O)NC(=O)N2c2ccc3[nH]cnc3c2)cc1O,338.32300000000004,2.0745999999999998,3.0,5.0,8.511449283499555
117,117,CHEMBL3677288,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc(-c2ccccc2)cc1,368.3960000000001,4.027400000000003,2.0,3.0,7.318758762624412
118,118,CHEMBL3677289,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1cccc(Cl)c1,326.74300000000005,3.0138000000000016,2.0,3.0,6.281498311132726
119,119,CHEMBL3677290,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc(Cl)cc1,326.74300000000005,3.0138000000000016,2.0,3.0,6.525783735923745
120,120,CHEMBL3677291,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccccc1Cl,326.74300000000005,3.0138000000000016,2.0,3.0,6.761953896871205
121,121,CHEMBL3677292,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc(F)cc1,310.288,2.499500000000001,2.0,3.0,6.267606240177032
122,122,CHEMBL3677293,active,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2c(c1)OCCO2,350.3340000000002,2.1315999999999997,2.0,5.0,6.892790030352131
